frame; timings; with call
1056;273;283;
1057;670;680;
1058;738;748;
1059;665;675;
1060;757;767;
1061;617;627;
1062;723;733;
1063;725;735;
1064;651;661;
1065;193;203;
1066;615;625;
1067;670;680;
1068;273;283;
1069;683;693;
1070;528;538;
1071;645;655;
1072;617;627;
1073;583;593;
1074;583;593;
1075;651;661;
1076;651;661;
1077;193;203;
1078;615;625;
1079;670;680;
1080;273;283;
1081;670;680;
1082;649;659;
1083;219;229;
1084;607;617;
1085;670;680;
1086;273;283;
1087;670;680;
1088;651;661;
1089;193;203;
1090;615;625;
1091;670;680;
1092;273;283;
1093;683;693;
1094;615;625;
1095;611;621;
1096;615;625;
1097;219;229;
1098;583;593;
1099;719;729;
1100;685;695;
1101;219;229;
1102;615;625;
1103;583;593;
1104;219;229;
1105;757;767;
1106;596;606;
1107;643;653;
1108;670;680;
1109;562;572;
1110;723;733;
1111;670;680;
1112;596;606;
1113;219;229;
1114;617;627;
1115;583;593;
1116;528;538;
1117;719;729;
1118;615;625;
1119;645;655;
1120;615;625;
1121;306;316;
1122;637;647;
1123;719;729;
1124;685;695;
1125;306;316;
1126;615;625;
1127;601;611;
1128;273;283;
1129;670;680;
1130;562;572;
1131;219;229;
1132;607;617;
1133;583;593;
1134;219;229;
1135;704;714;
1136;596;606;
1137;306;316;
1138;635;645;
1139;637;647;
1140;528;538;
1141;596;606;
1142;615;625;
1143;698;708;
1144;615;625;
1145;237;247;
1146;637;647;
1147;751;761;
1148;630;640;
1149;219;229;
1150;617;627;
1151;583;593;
1152;583;593;
1153;702;712;
1154;683;693;
1155;643;653;
1156;663;673;
1157;649;659;
1158;723;733;
1159;675;685;
1160;738;748;
1161;247;257;
1162;617;627;
1163;670;680;
1164;273;283;
1165;669;679;
1166;615;625;
1167;643;653;
1168;617;627;
1169;670;680;
1170;273;283;
1171;719;729;
1172;651;661;
1173;193;203;
1174;617;627;
1175;670;680;
1176;273;283;
1177;702;712;
1178;562;572;
1179;577;587;
1180;675;685;
1181;670;680;
1182;273;283;
1183;725;735;
1184;651;661;
1185;193;203;
1186;704;714;
1187;601;611;
1188;273;283;
1189;683;693;
1190;615;625;
1191;609;619;
1192;704;714;
1193;601;611;
1194;273;283;
1195;719;729;
1196;651;661;
1197;219;229;
1198;704;714;
1199;637;647;
1200;649;659;
1201;725;735;
1202;628;638;
1203;645;655;
1204;670;680;
1205;596;606;
1206;691;701;
1207;670;680;
1208;596;606;
1209;193;203;
1210;562;572;
1211;528;538;
1212;219;229;
1213;596;606;
1214;615;625;
1215;611;621;
1216;562;572;
1217;560;570;
1218;583;593;
1219;664;674;
1220;651;661;
1221;219;229;
1222;704;714;
1223;637;647;
1224;649;659;
1225;709;719;
1226;704;714;
1227;273;283;
1228;641;651;
1229;670;680;
1230;273;283;
1231;670;680;
1232;651;661;
1233;193;203;
1234;704;714;
1235;601;611;
1236;273;283;
1237;738;748;
1238;637;647;
1239;611;621;
1240;704;714;
1241;637;647;
1242;649;659;
1243;702;712;
1244;685;695;
1245;219;229;
1246;649;659;
1247;528;538;
1248;219;229;
